Date,value
"January 14, 2022",74.107
"January 15, 2022",74.387
"January 16, 2022",74.387
"January 17, 2022",74.285
"January 18, 2022",74.568
"January 19, 2022",74.383
"January 20, 2022",74.33
"January 21, 2022",74.34
"January 22, 2022",74.42
"January 23, 2022",74.42
"January 24, 2022",74.729
"January 25, 2022",74.758
"January 26, 2022",74.901
"January 27, 2022",75.215
"January 28, 2022",74.984
"January 29, 2022",75.002
"January 30, 2022",75.047
"January 31, 2022",74.591
"February 1, 2022",74.805
"February 2, 2022",74.798
"February 3, 2022",74.705
"February 4, 2022",74.621
"February 5, 2022",74.642
"February 6, 2022",74.642
"February 7, 2022",74.677
"February 8, 2022",74.713
"February 9, 2022",74.82
"February 10, 2022",75.122
"February 11, 2022",75.367
"February 12, 2022",75.349
"February 13, 2022",75.349
"February 14, 2022",75.653
"February 15, 2022",75.233
"February 16, 2022",75.06
"February 17, 2022",75.048
"February 18, 2022",74.664
"February 19, 2022",74.684
"February 20, 2022",74.684
"February 21, 2022",74.491
"February 22, 2022",74.668
"February 23, 2022",74.611
"February 24, 2022",75.664
"February 25, 2022",75.1
"February 26, 2022",75.055
"February 27, 2022",75.076
"February 28, 2022",75.455
"March 1, 2022",75.895
"March 2, 2022",75.53
"March 3, 2022",75.962
"March 4, 2022",76.466
"March 5, 2022",76.426
"March 6, 2022",76.426
"March 7, 2022",76.947
"March 8, 2022",77.06
"March 9, 2022",76.328
"March 10, 2022",76.428
"March 11, 2022",76.644
"March 12, 2022",76.759
"March 13, 2022",76.759
"March 14, 2022",76.474
"March 15, 2022",76.465
"March 16, 2022",76.182
"March 17, 2022",75.968
"March 18, 2022",76.062
"March 19, 2022",75.947
"March 20, 2022",75.947
"March 21, 2022",76.218
"March 22, 2022",76.133
"March 23, 2022",76.478
"March 24, 2022",76.281
"March 25, 2022",76.264
"March 26, 2022",76.286
"March 27, 2022",76.286
"March 28, 2022",76.142
"March 29, 2022",75.63
"March 30, 2022",75.787
"March 31, 2022",75.91
"April 1, 2022",76.009
"April 3, 2022",75.996
"April 4, 2022",75.45
"April 5, 2022",75.403
"April 6, 2022",75.93
"April 7, 2022",75.927
"April 8, 2022",76.225
"April 9, 2022",75.918
"April 10, 2022",75.918
"April 11, 2022",75.912
"April 12, 2022",76.1
"April 13, 2022",76.033
"April 14, 2022",76.292
"April 15, 2022",76.329
"April 16, 2022",76.332
"April 17, 2022",76.332
"April 18, 2022",76.257
"April 19, 2022",76.376
"April 20, 2022",76.287
"April 21, 2022",76.295
"April 22, 2022",76.521
"April 23, 2022",76.476
"April 24, 2022",76.476
"April 25, 2022",76.541
"April 26, 2022",76.672
"April 27, 2022",76.486
"April 28, 2022",76.648
"April 29, 2022",76.518
"April 30, 2022",76.523
"May 1, 2022",76.523
"May 2, 2022",76.519
"May 3, 2022",76.557
"May 4, 2022",76.269
"May 5, 2022",76.524
"May 6, 2022",76.953
"May 7, 2022",76.955
"May 8, 2022",76.955
"May 9, 2022",77.409
"May 10, 2022",77.291
"May 11, 2022",77.305
"May 12, 2022",77.366
"May 13, 2022",77.441
"May 14, 2022",77.487
"May 15, 2022",77.487
"May 16, 2022",77.848
"May 17, 2022",77.499
"May 18, 2022",77.722
"May 19, 2022",77.41
"May 20, 2022",77.853
"May 21, 2022",77.819
"May 22, 2022",77.819
"May 23, 2022",77.518
"May 24, 2022",77.532
"May 25, 2022",77.546
"May 26, 2022",77.675
"May 27, 2022",77.633
"May 28, 2022",77.692
"May 29, 2022",77.692
"May 30, 2022",77.54
"May 31, 2022",77.628
"June 1, 2022",77.573
"June 2, 2022",77.415
"June 3, 2022",77.681
"June 4, 2022",77.615
"June 5, 2022",77.615
"June 6, 2022",77.78
"June 7, 2022",77.646
"June 8, 2022",77.643
"June 9, 2022",77.821
"June 10, 2022",78.083
"June 11, 2022",78.144
"June 12, 2022",78.144
"June 13, 2022",78.088
"June 14, 2022",78.015
"June 15, 2022",78.117
"June 16, 2022",77.912
"June 17, 2022",78.018
"June 18, 2022",77.952
"June 19, 2022",77.952
"June 20, 2022",77.928
"June 21, 2022",78.134
"June 22, 2022",78.233
"June 23, 2022",78.161
"June 24, 2022",78.257
"June 25, 2022",78.253
"June 26, 2022",78.253
"June 27, 2022",78.448
